segment,name,exchange,isin,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,symbol,qty_multiplier,security_type,weekly,expiry,asset_symbol,underlying_symbol,minimum_lot,asset_type,underlying_type,strike_price,short_name,asset_key,underlying_key,last_trading_date,price_quote_unit,download_date
NSE_EQ,ADROIT INFOTECH LIMITED,NSE,INE737B01033,EQ,NSE_EQ|INE737B01033,1.0,100000.0,4953,1.0,ADROITINFO,1.0,NORMAL,,,,,,,,,ADROIT INFOTECH,,,,,2026-04-17
NSE_EQ,UMIYA BUILDCON LIMITED,NSE,INE398B01018,EQ,NSE_EQ|INE398B01018,1.0,100000.0,8998,1.0,UMIYA-MRO,1.0,NORMAL,,,,,,,,,MRO-Tek Realty,,,,,2026-04-17
NSE_EQ,BANCO PRODUCTS (I) LTD,NSE,INE213C01025,EQ,NSE_EQ|INE213C01025,1.0,100000.0,13880,5.0,BANCOINDIA,1.0,NORMAL,,,,,,,,,Banco Products,,,,,2026-04-17
NSE_EQ,GARUDA CONSTRUCT N ENG L,NSE,INE0JVO01026,EQ,NSE_EQ|INE0JVO01026,1.0,100000.0,25800,1.0,GARUDA,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,RAILTEL CORP OF IND LTD,NSE,INE0DD101019,EQ,NSE_EQ|INE0DD101019,1.0,100000.0,2431,1.0,RAILTEL,1.0,NORMAL,,,,,,,,,Railtel Corp of India,,,,,2026-04-17
NSE_EQ,BTRFLY GANDHI APPL LTD,NSE,INE295F01017,EQ,NSE_EQ|INE295F01017,1.0,100000.0,2716,5.0,BUTTERFLY,1.0,NORMAL,,,,,,,,,Btrfly Gandhi Appl,,,,,2026-04-17
NSE_EQ,A B COTSPIN INDIA LIMITED,NSE,INE08PH01015,EQ,NSE_EQ|INE08PH01015,1.0,100000.0,759130,5.0,ABCOTS,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,SAKSOFT LIMITED,NSE,INE667G01023,EQ,NSE_EQ|INE667G01023,1.0,100000.0,11794,1.0,SAKSOFT,1.0,NORMAL,,,,,,,,,Saksoft,,,,,2026-04-17
NSE_EQ,SHREE RENUKA SUGARS LTD,NSE,INE087H01022,EQ,NSE_EQ|INE087H01022,1.0,100000.0,12026,1.0,RENUKA,1.0,NORMAL,,,,,,,,,Shree Renuka Sugars,,,,,2026-04-17
NSE_EQ,VMS TMT LIMITED,NSE,INE0SJA01013,EQ,NSE_EQ|INE0SJA01013,1.0,100000.0,759152,1.0,VMSTMT,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,RADIANT CASH MGMT SER LTD,NSE,INE855R01021,EQ,NSE_EQ|INE855R01021,1.0,100000.0,13580,1.0,RADIANTCMS,1.0,NORMAL,,,,,,,,,Radiant Cash Mgmt Ser,,,,,2026-04-17
NSE_EQ,BAJAJ HINDUSTHAN SUGAR LT,NSE,INE306A01021,EQ,NSE_EQ|INE306A01021,1.0,100000.0,308,1.0,BAJAJHIND,1.0,NORMAL,,,,,,,,,Bajaj Hindusthan Sugar,,,,,2026-04-17
NSE_EQ,JARO INS OF TEC MG N RE L,NSE,INE00YJ01010,EQ,NSE_EQ|INE00YJ01010,1.0,100000.0,759951,5.0,JARO,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,KRSNAA DIAGNOSTICS LTD,NSE,INE08LI01020,EQ,NSE_EQ|INE08LI01020,1.0,100000.0,5359,5.0,KRSNAA,1.0,NORMAL,,,,,,,,,Krsnaa Diagnostics,,,,,2026-04-17
NSE_EQ,GANGES SECURITIES LIMITED,NSE,INE335W01016,EQ,NSE_EQ|INE335W01016,1.0,100000.0,21399,1.0,GANGESSECU,1.0,NORMAL,,,,,,,,,Ganges Securities,,,,,2026-04-17
NSE_EQ,SOLAR INDUSTRIES (I) LTD,NSE,INE343H01029,EQ,NSE_EQ|INE343H01029,1.0,100000.0,13332,100.0,SOLARINDS,1.0,NORMAL,,,,,,,,,Solar Industries (India),,,,,2026-04-17
NSE_EQ,OIL COUNTRY TUBULAR LTD,NSE,INE591A01010,EQ,NSE_EQ|INE591A01010,1.0,100000.0,2472,1.0,OILCOUNTUB,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,CREATIVE NEWTECH LIMITED,NSE,INE985W01018,EQ,NSE_EQ|INE985W01018,1.0,100000.0,11155,5.0,CNL,1.0,NORMAL,,,,,,,,,Creative Newtech,,,,,2026-04-17
NSE_EQ,KIRLOSKAR BROTHERS LTD,NSE,INE732A01036,EQ,NSE_EQ|INE732A01036,1.0,100000.0,18581,10.0,KIRLOSBROS,1.0,NORMAL,,,,,,,,,Kirloskar Brothers,,,,,2026-04-17
NSE_EQ,PVR INOX LIMITED,NSE,INE191H01014,EQ,NSE_EQ|INE191H01014,1.0,100000.0,13147,5.0,PVRINOX,1.0,NORMAL,,,,,,,,,PVR Inox,,,,,2026-04-17
NSE_EQ,BIRLASLAMC - ABGSEC,NSE,INF209KC1134,EQ,NSE_EQ|INF209KC1134,1.0,100000.0,24404,1.0,ABGSEC,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,QUANTUM GOLD FUND,NSE,INF082J01408,EQ,NSE_EQ|INF082J01408,1.0,100000.0,15330,1.0,QGOLDHALF,1.0,NORMAL,,,,,,,,,Quantum Gold Fund,,,,,2026-04-17
NSE_EQ,JNK INDIA LIMITED,NSE,INE0OAF01028,EQ,NSE_EQ|INE0OAF01028,1.0,100000.0,23621,1.0,JNKINDIA,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
NSE_EQ,AAREY DRUGS & PHARM LTD,NSE,INE198H01019,EQ,NSE_EQ|INE198H01019,1.0,100000.0,5245,1.0,AAREYDRUGS,1.0,NORMAL,,,,,,,,,,,,,,2026-04-17
